imdb_id,tmbd_id,title,mpa,genre,runtime,release_date,producion_company,revenue,budget,vote_average,vote_count,popularity,director,director_gender
tt0076759,11,Star Wars,PG,Adventure,121,1977-05-25,Lucasfilm Ltd.,775398007,11000000,8.205,19651,92.517,George Lucas,Male
tt0076729,11006,Smokey and the Bandit,PG,Action,96,1977-05-26,Universal Pictures,126700000,4300000,6.971,667,17.269,Hal Needham,Male
tt0075860,840,Close Encounters of the Third Kind,PG,Science Fiction,135,1977-12-14,Julia Phillips and Michael Phillips Productions,306889114,20000000,7.361,3954,29.289,Steven Spielberg,Male
tt0076666,11009,Saturday Night Fever,R,Music,119,1977-12-16,Robert Stigwood Organization,237100000,3500000,6.73,1801,28.581,John Badham,Male
tt0075784,5902,A Bridge Too Far,PG,Drama,175,1977-06-15,United Artists,50750000,22000000,7.223,753,27.237,Richard Attenborough,Male
tt0075925,20416,The Deep,PG,Mystery,123,1977-06-17,EMI Films,100000000,9000000,6.1,205,16.37,Peter Yates,Male
tt0076752,691,The Spy Who Loved Me,PG,Adventure,125,1977-07-07,EON Productions,185438673,13000000,6.796,1838,31.94,Lewis Gilbert,Male
tt0076489,24032,"Oh, God!",PG,Fantasy,98,1977-10-07,Warner Bros. Pictures,41687243,NA,6.38,108,11.276,Carl Reiner,Male
tt0075686,703,Annie Hall,PG,Comedy,93,1977-04-19,United Artists,38288028,4000000,7.8,3673,26.995,Woody Allen,Male
tt0078227,4988,Semi-Tough,R,Comedy,108,1977-11-18,United Artists,37187139,NA,5.6,42,9.294,Michael Ritchie,Male
tt0076538,11114,Pete's Dragon,G,Fantasy,128,1977-11-03,Walt Disney Productions,35488000,10000000,6.32,636,21.288,Don Chaffey,Male
tt0076138,83061,Heroes,PG,Drama,112,1977-11-04,David Foster Productions,33500000,3200000,6.3,19,4.312,Jeremy Kagan,Male
tt0076141,12535,High Anxiety,PG,Comedy,94,1977-12-25,Crossbow Productions,31063038,4015000,6.409,319,11.705,Mel Brooks,Male
tt0076009,11586,Exorcist II: The Heretic,R,Drama,117,1977-06-17,Warner Bros. Pictures,30800000,14000000,4.5,662,32.212,John Boorman,Male
tt0076618,11319,The Rescuers,G,Fantasy,78,1977-06-22,Walt Disney Productions,169000000,7500000,6.768,2357,29.474,Wolfgang Reitherman,Male
tt0076723,11590,Slap Shot,R,Comedy,123,1977-02-25,Universal Pictures,28000000,NA,6.871,338,12.403,George Roy Hill,Male
tt0076137,14140,Herbie Goes to Monte Carlo,G,Romance,105,1977-06-24,Walt Disney Productions,29000000,NA,5.9,297,16.999,Vincent McEveety,Male
tt0076070,17689,The Gauntlet,R,Drama,109,1977-12-17,Malpaso Productions,26400000,5500000,6.574,480,17.741,Clint Eastwood,Male
tt0076843,61280,The Turning Point,PG,Drama,119,1977-11-14,Hera Productions,25933445,NA,6.5,53,5.34,Herbert Ross,Male
tt0076054,16084,Freaky Friday,G,Fantasy,95,1976-12-17,Walt Disney Productions,25942000,NA,6.1,243,14.227,Gary Nelson,Male
tt0076507,80844,The Other Side of Midnight,R,Drama,165,1977-06-08,Frank Yablans Presentations,24652021,NA,5.906,16,6.092,Charles Jarrott,Male
tt0076327,37749,Looking for Mr. Goodbar,R,Drama,135,1977-10-19,Paramount,22512655,NA,6.328,96,11.126,Richard Brooks,Male
tt0076245,42222,Julia,PG,Drama,117,1977-10-01,20th Century Fox,20700000,7840000,6.6,129,10.308,Fred Zinnemann,Male
tt0075718,19050,The Bad News Bears in Breaking Training,PG,Comedy,100,1977-07-08,Paramount,19104350,NA,5.872,39,6.61,Michael Pressman,Male
tt0076044,38802,For the Love of Benji,G,Family,85,1977-06-10,Mulberry Square Productions,17732000,NA,5.5,37,2.929,Joe Camp,Male
tt0076451,12637,"New York, New York",PG,Drama,163,1977-06-21,United Artists,16400000,14000000,6.6,421,11.662,Martin Scorsese,Male
tt0075765,50374,Black Sunday,R,Action,143,1977-04-01,Paramount,15769322,8000000,6.713,130,9.202,John Frankenheimer,Male
tt0076504,12707,Orca,PG,Horror,95,1977-07-22,Dino de Laurentiis Cinematografica,14717854,17500000,6.147,368,19.937,Michael Anderson,Male
tt0075774,42217,Bobby Deerfield,PG,Drama,124,1977-09-29,First Artists,9300000,6400000,6,81,6.991,Sydney Pollack,Male
tt0076211,70926,Islands in the Stream,PG,Drama,104,1977-03-09,Paramount,5596173,NA,6.5,18,4.594,Franklin J. Schaffner,Male
tt0076591,31718,"Race for Your Life, Charlie Brown",G,Family,76,1977-07-03,Paramount,3223888,NA,6.637,91,10.575,Phil Roman,Male
tt0076175,25388,March or Die,PG,Drama,107,1977-09-08,Associated General Films,1000000,NA,5.836,76,13.629,Dick Richards,Male
tt0076234,42221,Joseph Andrews,R,Romance,99,1977-03-09,Woodfall Film Productions,839865,NA,4.1,8,4.273,Tony Richardson,Male
